serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount,sales_ratio,property_type,residential_type,years_until_sold
70930,2007,8/5/2008,New Haven,17 SHEPARD ST,146860,252500.0,0.581623762,Three Family,Three Family,1
70522,2007,5/12/2008,Meriden,14 SOUTH SECOND ST,94190,59000.0,1.596440678,Three Family,Three Family,1
70198,2007,10/30/2007,Bridgeport,187 GRANFIELD AVE,111100,255000.0,0.435686275,Two Family,Two Family,0
70206,2007,12/10/2007,New Haven,114 JUDSON AVE,166180,235000.0,0.707148936,Three Family,Three Family,0
60566,2006,6/7/2007,Torrington,433 MIGEON AVE,83000,174000.0,0.477011494,Two Family,Two Family,1
70983,2007,8/21/2008,New Haven,511 WINCHESTER AVE,192150,120000.0,1.60125,Four Family,Four Family,1
70421,2007,5/2/2008,East Hartford,39-41 CENTRAL AVE,243630,475000.0,0.512905263,Four Family,Four Family,1
60701,2006,1/23/2007,Waterbury,22 PARKER ST,57610,137000.0,0.420510949,Two Family,Two Family,1
60443,2006,4/24/2007,Torrington,34 PINE ST,68800,150000.0,0.458666667,Two Family,Two Family,1
60033,2006,10/10/2006,Norwalk,7 BURWELL ST,219380,486000.0,0.451399177,Two Family,Two Family,0
70327,2007,3/6/2008,Greenwich,10 LENOX DR,1248030,4595000.0,0.271606094,Two Family,Two Family,1
62091,2006,9/5/2007,Waterbury,14 ASH ST,65870,39000.0,1.688974359,Three Family,Three Family,1
70220,2007,11/1/2007,Bridgeport,195 BERKSHIRE AVE,65870,75000.0,0.878266667,Two Family,Two Family,0
70691,2007,2/12/2008,Bridgeport,162-164 BRONX AVE,177060,226770.0,0.78079111,Three Family,Three Family,1
60172,2006,12/1/2006,Wallingford,28 CLINTON PL,165130,160000.0,1.0320625,Two Family,Two Family,0
70699,2007,2/14/2008,Bridgeport,1119-1121 STRATFORD AVE,164940,300000.0,0.5498,Three Family,Three Family,1
60026,2006,10/25/2006,Winchester,317-319 W LAKE ST,79100,275000.0,0.287636364,Three Family,Three Family,0
70431,2007,7/3/2008,Norwich,176 PROSPECT ST,90000,110000.0,0.818181818,Two Family,Two Family,1
60405,2006,3/26/2007,West Haven,175 MAIN ST,217770,320000.0,0.68053125,Two Family,Two Family,1
70766,2007,8/25/2008,Greenwich,73 CONNECTICUT AVE,693420,1250000.0,0.554736,Two Family,Two Family,1
70198,2007,1/16/2008,Torrington,345 BRIGHTWOOD AVE,85100,25000.0,3.404,Two Family,Two Family,1
70559,2007,5/23/2008,Hartford,208 MAPLE AVE,38690,52000.0,0.744038462,Two Family,Two Family,1
71610,2007,8/25/2008,Bridgeport,85-87 NELSON TERRACE,64510,300000.0,0.215033333,Two Family,Two Family,1
70281,2007,1/4/2008,New Haven,308 ALDEN AVE,288540,195000.0,1.479692308,Four Family,Four Family,1
60595,2006,7/2/2007,Norwich,87 WILLIAMS ST,115000,245900.0,0.467669784,Two Family,Two Family,1
60335,2006,2/20/2007,Wallingford,39 WILLIAM ST,195230,315000.0,0.619777778,Two Family,Two Family,1
60576,2006,12/22/2006,Waterbury,26 JAMES ST,78080,180000.0,0.433777778,Three Family,Three Family,0
70816,2007,8/29/2008,Hartford,97-99 ROWE AVE,82791,265000.0,0.312418868,Three Family,Three Family,1
70224,2007,11/1/2007,Bridgeport,207 HARRIET ST,44450,75000.0,0.592666667,Three Family,Three Family,0
70135,2007,11/14/2007,New Haven,16 DOWNES ST,114730,169900.0,0.675279576,Two Family,Two Family,0
70034,2007,12/18/2007,Putnam,60-62 MARSHALL ST,85500,174000.0,0.49137931,Two Family,Two Family,0
70517,2007,9/3/2008,Enfield,55 PROSPECT ST,111300,60000.0,1.855,Two Family,Two Family,1
70551,2007,5/19/2008,Hartford,23 WILLIAMS ST,42599,139900.0,0.304496069,Three Family,Three Family,1
61832,2006,7/31/2007,Waterbury,287 CIRCULAR AVE,74690,168000.0,0.444583333,Two Family,Two Family,1
60109,2006,11/13/2006,Norwich,10-12 S SECOND AVE,110000,292500.0,0.376068376,Two Family,Two Family,0
70036,2007,10/15/2007,Meriden,60 SOUTH FIRST ST,111030,199900.0,0.555427714,Three Family,Three Family,0
70959,2007,8/1/2008,Norwalk,58 OSBORNE AVE,228060,335000.0,0.680776119,Two Family,Two Family,1
70293,2007,1/23/2008,Hartford,88-90 BALTIMORE ST,39883,148500.0,0.268572391,Three Family,Three Family,1
