serial_number,list_year,date_recorded,town,address,assessed_value,sale_amount,sales_ratio,property_type,residential_type,years_until_sold
2020348,2020,9/13/2021,Ansonia,230 WAKELEE AVE,150500,325000.0,0.463,Commercial,Nan,1
20002,2020,10/2/2020,Ashford,390 TURNPIKE RD,253000,430000.0,0.5883,Residential,Single Family,0
200212,2020,3/9/2021,Avon,5 CHESTNUT DRIVE,130400,179900.0,0.7248,Residential,Condo,1
200243,2020,4/13/2021,Avon,111 NORTHINGTON DRIVE,619290,890000.0,0.6958,Residential,Single Family,1
200377,2020,7/2/2021,Avon,70 FAR HILLS DRIVE,862330,1447500.0,0.5957,Residential,Single Family,1
200109,2020,12/9/2020,Avon,57 FAR HILLS DRIVE,847520,1250000.0,0.678,Residential,Single Family,0
2020180,2020,3/1/2021,Berlin,1539 FARMINGTON AVE,234200,130000.0,1.8015,Residential,Two Family,1
2020313,2020,7/1/2021,Berlin,216 WATCH HILL RD,412000,677500.0,0.6081,Residential,Single Family,1
200097,2020,6/4/2021,Bethany,23 AMITY RD,511000,795000.0,0.6427,Commercial,Nan,1
20139,2020,12/16/2020,Bethel,16 DEEPWOOD DRIVE,171360,335000.0,0.5115,Residential,Single Family,0
200086,2020,8/10/2021,Bethlehem,39 WOODLAND RD,168900,352000.0,0.4798,Residential,Single Family,1
2000381,2020,9/13/2021,Bloomfield,9 SADDLE RIDGE,163730,250000.0,0.6549,Residential,Condo,1
200258,2020,1/22/2021,Branford,34 SUNRISE COVE CAMP,530500,700000.0,0.7578,Residential,Single Family,1
200804,2020,9/28/2021,Branford,119 MONTOWESE ST,455100,650000.0,0.7001,Commercial,Nan,1
201295,2020,9/9/2021,Bristol,609 CAMP ST,144340,249900.0,0.5775,Residential,Single Family,1
200032,2020,10/8/2020,Bristol,9 LESLIE COURT,94920,155000.0,0.6123,Residential,Single Family,0
200354,2020,12/29/2020,Bristol,391 TIFFANY LA,173740,299000.0,0.581,Residential,Single Family,0
200527,2020,3/1/2021,Bristol,25 WARD ST,85680,183000.0,0.4681,Residential,Two Family,1
201212,2020,8/23/2021,Bristol,8 JENNINGS TERR,88060,91000.0,0.9676,Residential,Single Family,1
20000050,2020,11/5/2020,Brookfield,4 CHELSEA CT,105110,160000.0,0.6569375,Residential,Condo,0
20000179,2020,2/22/2021,Brookfield,72 HOMESTEAD LN,94770,170000.0,0.5574,Residential,Condo,1
200042,2020,5/19/2021,Canaan,93 MAIN ST,355800,599000.0,0.5939,Residential,Two Family,1
200117,2020,4/12/2021,Canton,52 COUNTRY LANE,160850,280000.0,0.5744,Residential,Single Family,1
2000230,2020,3/16/2021,Cheshire,50 ABBEY CT,210940,365000.0,0.5779,Residential,Single Family,1
2000330,2020,5/20/2021,Cheshire,844 HIGHLAND AVE,144220,204000.0,0.7069,Residential,Single Family,1
200078,2020,9/20/2021,Chester,6 SUNSET AVE,250100,418800.0,0.5971,Residential,Single Family,1
200268,2020,7/9/2021,Colchester,347 CABIN RD,104000,350000.0,0.2971,Vacant Land,Nan,1
200035,2020,10/29/2020,Colchester,160 SHADBUSH DR,223900,392000.0,0.5711,Residential,Single Family,0
200024,2020,11/9/2020,Columbia,WEBSTER LANE,60300,75000.0,0.804,Vacant Land,Nan,0
200074,2020,9/1/2021,Cornwall,131 KENT RD,246100,385000.0,0.6392,Commercial,Nan,1
200101,2020,1/7/2021,Coventry,74 LAKEVIEW DR,142800,245000.0,0.5828,Residential,Single Family,1
200282,2020,7/15/2021,Coventry,1467 SOUTH ST,359800,480000.0,0.7495,Commercial,Nan,1
200039,2020,11/6/2020,Coventry,2075 MAIN ST,43700,25000.0,1.748,Vacant Land,Nan,0
201328,2020,8/6/2021,Cromwell,6 BELHAVEN,410670,740000.0,0.5549,Residential,Condo,1
200077,2020,12/8/2020,Cromwell,60 NORTH RD,174650,259000.0,0.6743,Vacant Land,Nan,0
200195,2020,4/26/2021,Cromwell,34 SHUNPIKE ROAD,3360000,5214750.0,0.6443,Commercial,Nan,1
200742,2020,3/29/2021,Danbury,17 OHEHYAHTAH PL,339100,550000.0,0.6165,Residential,Single Family,1
200886,2020,5/3/2021,Danbury,86 MERRIMAC ST B,189800,240000.0,0.7908,Residential,Condo,1
200938,2020,5/13/2021,Danbury,15-17 BOUGHTON ST #1-5,118900,230000.0,0.5169,Residential,Condo,1
201018,2020,6/3/2021,Danbury,55 FOREST AV,136900,150000.0,0.9126,Residential,Single Family,1
201186,2020,7/12/2021,Danbury,28 MAIN ST,695500,3200000.0,0.21734375,Commercial,Nan,1
201443,2020,9/1/2021,Danbury,4 COOPER RD,158700,325000.0,0.4883,Residential,Single Family,1
201580,2020,9/27/2021,Danbury,25 CROWN ST,192300,525000.0,0.366285714,Residential,Two Family,1
200408,2020,12/24/2020,Danbury,15 SCUPPO RD 1503,130800,260000.0,0.503,Residential,Condo,0
20129,2020,3/30/2021,Derby,196 ELIZABETH ST,351260,873000.0,0.4023,Commercial,Nan,1
20013,2020,12/16/2020,Eastford,GENERAL LYON RD,2200,20000.0,0.11,Vacant Land,Nan,0
200215,2020,6/4/2021,East Haddam,SHANAGHAN RD,51690,65000.0,0.7952,Vacant Land,Nan,1
200242,2020,1/27/2021,East Haven,130 COE AVE #51,28240,73000.0,0.386849315,Residential,Condo,1
10095,2001,11/16/2001,Farmington,5 SPARROW LN,67670,302866.0,0.223432145,Nan,Nan,0
200375,2020,4/6/2021,East Haven,55 THOMPSON ST #5A,76960,140000.0,0.5497,Residential,Condo,1
11238,2001,8/30/2002,Bethel,50 FOURTH ST,76450,50000.0,1.529,Nan,Nan,1
10035,2001,6/28/2002,Chaplin,FEDERAL RD,19000,35000.0,0.542857143,Nan,Nan,1
10115,2001,2/1/2002,Clinton,42 PRATT RD,121900,230000.0,0.53,Nan,Nan,1
200194,2020,2/5/2021,East Lyme,5 ROCCO DR,170660,220000.0,0.7757,Vacant Land,Nan,1
200236,2020,3/18/2021,East Lyme,8 N EDGEWOOD RD,238140,421000.0,0.5656,Residential,Single Family,1
200320,2020,5/10/2021,East Lyme,9 FREEDOM WAY,776230,1525000.0,0.509,Commercial,Nan,1
200499,2020,9/10/2021,East Lyme,27 SEA CREST AVE,233660,517000.0,0.4519,Residential,Single Family,1
200510,2020,9/15/2021,East Lyme,3 CARLISE LN,212100,390500.0,0.5431,Residential,Condo,1
200109,2020,3/30/2021,Easton,50 RIVERSIDE LANE,165400,300000.0,0.5513,Vacant Land,Nan,1
200305,2020,1/26/2021,Enfield,15 SALERNO DR,233660,410000.0,0.5699,Residential,Single Family,1
10041,2001,7/17/2002,Eastford,WESTFORD RD,180,5000.0,0.036,Nan,Nan,1
10115,2001,12/11/2001,Bethlehem,KASSON RD,39060,105000.0,0.372,Nan,Nan,0
10452,2001,12/14/2001,Danbury,DIVISION ST,140700,300000.0,0.469,Nan,Nan,0
200537,2020,5/21/2021,Enfield,104 BREWSTER RD,117380,245000.0,0.4791,Residential,Single Family,1
200652,2020,6/29/2021,Enfield,12 KELLY DR,203470,360000.0,0.5651,Residential,Single Family,1
200700,2020,7/13/2021,Enfield,8 SHANNON DR,161590,310000.0,0.5212,Residential,Single Family,1
200226,2020,12/18/2020,Enfield,106 RAFFIA RD,145570,240000.0,0.6065,Residential,Single Family,0
200125,2020,3/31/2021,Essex,35 DEER LA,220500,425000.0,0.5188,Residential,Single Family,1
200140,2020,4/28/2021,Essex,14 ESSEX GLEN DR #12,335800,520000.0,0.6457,Residential,Condo,1
200055,2020,11/19/2020,Essex,HILLSIDE DR,5600,5000.0,1.12,Vacant Land,Nan,0
11665,2001,7/30/2002,Danbury,3 MORGAN AVE,94600,175000.0,0.540571429,Nan,Nan,1
20054,2020,10/27/2020,Farmington,8193 ELY RD,167190,225000.0,0.743,Vacant Land,Nan,0
200151,2020,12/14/2020,Farmington,15 MALS WAY,356410,550000.0,0.648,Residential,Single Family,0
10133,2001,7/30/2002,Durham,22 JOHN'S WAY,60340,82000.0,0.735853659,Nan,Nan,1
200539,2020,7/16/2021,Farmington,130 BIRDSEYE RD,1213620,1125000.0,1.0787,Commercial,Nan,1
10323,2001,9/23/2002,Coventry,400 EASTVIEW DR,0,325400.0,0.0,Nan,Nan,1
20064,2020,8/31/2021,Franklin,888 ROUTE 32,186770,209000.0,0.8936,Commercial,Nan,1
10751,2001,8/1/2002,Glastonbury,UT 128B S 93A,4200,6000.0,0.7,Nan,Nan,1
10044,2001,11/30/2001,Derby,5 WOODLAND WALK,175000,280000.0,0.625,Nan,Nan,0
200827,2020,9/7/2021,Glastonbury,38 MONTAUK WAY,332000,520000.0,0.6384,Residential,Condo,1
10383,2001,1/23/2002,Hamden,297 PARK RD,77490,115000.0,0.673826087,Nan,Nan,1
20000123,2020,3/10/2021,Granby,18 MILL POND DR,87290,115000.0,0.759,Vacant Land,Nan,1
200579,2020,2/3/2021,Greenwich,2195000,1061900,2195000.0,0.4837,Vacant Land,Nan,1
10115,2001,3/11/2002,East Haddam,45 EH COLCHESTER TPKE,71330,122000.0,0.584672131,Nan,Nan,1
200645,2020,2/17/2021,Greenwich,123 VALLEY DRIVE,2661200,3000000.0,0.887,Residential,Single Family,1
10250,2001,7/18/2002,Coventry,HEMLOCK LN,1260,5000.0,0.252,Nan,Nan,1
10045,2001,1/3/2002,Bethany,9 SIMPSON CT,96590,0.0,0.0,Nan,Nan,1
201233,2020,6/22/2021,Greenwich,11 BAYBERRY LANE,4259500,4300000.0,0.9905,Residential,Single Family,1
201437,2020,7/20/2021,Greenwich,552 RIVER ROAD,1337630,2300000.0,0.5815,Residential,Single Family,1
10029,2001,5/13/2002,Colebrook,BOHUN RD,12900,17000.0,0.758823529,Nan,Nan,1
201494,2020,7/28/2021,Greenwich,20 EAST LYON FARM DRIVE,632170,1250000.0,0.5057,Residential,Condo,1
10108,2001,11/14/2001,East Haven,130 MANSFIELD GRV RD,87910,149000.0,0.59,Nan,Nan,0
200421,2020,12/24/2020,Greenwich,130 NORTH WATER STREET,288190,705000.0,0.4087,Residential,Single Family,0
10530,2001,9/12/2002,Avon,1 PUTNAM LN,97300,200000.0,0.4865,Nan,Nan,1
10114,2001,2/21/2002,East Windsor,EAST RD,43,2000.0,0.0215,Nan,Nan,1
201078,2020,12/21/2020,Griswold,22 CROSS RD,173040,302000.0,0.5729,Residential,Single Family,0
12532,2001,8/13/2002,Bolton,45 BEACON CT,0,12350.0,0.0,Nan,Nan,1
200436,2020,5/4/2021,Groton,67 LEAFWOOD LN S250,71960,130000.0,0.5535,Residential,Condo,1
200639,2020,7/28/2021,Groton,4 TYLER AVE,259770,650000.0,0.399646154,Residential,Single Family,1
10049,2001,11/2/2001,Avon,53 HIGH GATE DR,367800,550000.0,0.668727273,Nan,Nan,0
200020,2020,10/6/2020,Groton,98 EAST SHORE AVE,654570,990000.0,0.661181818,Residential,Single Family,0
200098,2020,11/6/2020,Groton,70 ATLANTIC AVE,354550,742500.0,0.4775,Residential,Single Family,0
200285,2020,4/12/2021,Guilford,30 GRANITE RD,77840,150000.0,0.5189,Residential,Condo,1
200080,2020,11/5/2020,Guilford,2 WINTERBERRY RD,239550,480000.0,0.499,Residential,Single Family,0
20360,2020,1/22/2021,Hartford,1301 MAIN ST,173670,439900.0,0.3947,Commercial,Nan,1
20522,2020,3/11/2021,Hartford,26 BRANFORD ST,35875,165000.0,0.2174,Residential,Single Family,1
20565,2020,3/29/2021,Hartford,31 EATON ST,61915,249000.0,0.2486,Residential,Two Family,1
20614,2020,4/8/2021,Hartford,55 STERLING ST,52500,220000.0,0.2386,Residential,Two Family,1
20750,2020,5/6/2021,Hartford,3371 MAIN ST,126560,180000.0,0.7031,Commercial,Nan,1
20899,2020,6/21/2021,Hartford,159 RUSS ST,137270,278500.0,0.4928,Apartments,Nan,1
201023,2020,7/26/2021,Hartford,410 MARKET ST,435610,525000.0,0.8297,Commercial,Nan,1
201129,2020,8/19/2021,Hartford,20 GIDDINGS ST,114954,360000.0,0.3193,Residential,Two Family,1
200065,2020,3/31/2021,Harwinton,WHETSTONE RD,55380,85000.0,0.6515,Vacant Land,Nan,1
200125,2020,9/7/2021,Harwinton,167 BIRGE PARK RD,194790,360000.0,0.541,Residential,Single Family,1
11193,2001,8/2/2002,Milford,65 CHERRY ST BLDG B,56980,95000.0,0.599789474,Nan,Nan,1
200230,2020,4/26/2021,Killingly,152 NORTH ST,143220,150000.0,0.9548,Apartments,Nan,1
200043,2020,12/9/2020,Killingworth,46 TITUS COAN ROAD,354040,645000.0,0.5488,Residential,Single Family,0
20059,2020,2/18/2021,Lebanon,54 FIRST ST,121510,229900.0,0.5285,Residential,Single Family,1
20041,2020,3/9/2021,Lisbon,17 BARBER FARM RD,76880,90000.0,0.8542,Vacant Land,Nan,1
200052,2020,11/16/2020,Litchfield,68 BEACH ST,149570,200000.0,0.7478,Residential,Two Family,0
200010,2020,11/20/2020,Lyme,0 STERLING HILL RD,101100,250000.0,0.4044,Vacant Land,Nan,0
200709,2020,4/16/2021,Manchester,152 GREEN ROAD,138100,282500.0,0.488849558,Residential,Single Family,1
10096,2001,2/28/2002,Putnam,123 PARK RD,139000,200000.0,0.695,Nan,Nan,1
200991,2020,7/8/2021,Manchester,64 MILFORD ROAD,104300,160000.0,0.6518,Residential,Single Family,1
201027,2020,7/19/2021,Manchester,200 SHELDON ROAD,517700,800000.0,0.6471,Commercial,Nan,1
11490,2001,7/19/2002,Norwalk,29 PONUS AVE,148540,344000.0,0.431802326,Nan,Nan,1
11430,2001,9/26/2002,Milford,ROSELLE ST,31360,70000.0,0.448,Nan,Nan,1
10055,2001,12/4/2001,Stafford,15 JENNIFER LN,0,165155.0,0.0,Nan,Nan,0
200210,2020,7/12/2021,Mansfield,156 HILLYNDALE RD,169400,345000.0,0.491,Residential,Single Family,1
10090,2001,6/18/2002,Sherman,1 WIMISINK DR,64050,117000.0,0.547435897,Nan,Nan,1
200468,2020,2/12/2021,Meriden,28 STANLEY ST,100520,170000.0,0.5912,Residential,Single Family,1
200821,2020,5/27/2021,Meriden,7 CARRIAGE CRSNG,67270,82000.0,0.8203,Residential,Condo,1
200961,2020,7/1/2021,Meriden,52 ROYAL OAK CIR,130340,305000.0,0.4273,Residential,Single Family,1
10502,2001,1/15/2002,Stratford,1101 SUCCESS AVE,0,50000.0,0.0,Nan,Nan,1
10001,2001,10/2/2001,Roxbury,352 SOUTH ST,234240,320000.0,0.732,Nan,Nan,0
10205,2001,6/18/2002,Oxford,31 CORTLAND PL,65930,125000.0,0.52744,Nan,Nan,1
201245,2020,9/14/2021,Meriden,223 REYNOLDS DR,128170,260000.0,0.4929,Residential,Single Family,1
200038,2020,10/9/2020,Meriden,41 SUNNY LANE,209440,307000.0,0.6822,Residential,Single Family,0
10049,2001,12/17/2001,Putnam,12-16 BATTEY ST,63000,100000.0,0.63,Nan,Nan,0
10041,2001,10/4/2001,Stratford,86 MINOR CROSS,107090,0.0,0.0,Nan,Nan,0
10254,2001,9/13/2002,Old Lyme,11 FERRY RD,538000,1200000.0,0.448333333,Nan,Nan,1
11920,2001,9/24/2002,Norwalk,26 KNAPP ST,101920,260000.0,0.392,Nan,Nan,1
10885,2001,9/6/2002,Norwich,154 N MAIN ST,140400,200000.0,0.702,Nan,Nan,1
11931,2001,9/24/2002,Norwalk,27 BROAD ST,332710,519043.0,0.641006622,Nan,Nan,1
200175,2020,10/29/2020,Milford,16 SEABREEZE AVE,180950,325000.0,0.5567,Residential,Condo,0
200275,2020,11/16/2020,Milford,0 EDGEWATER PL,119000,300000.0,0.3966,Vacant Land,Nan,0
10015,2001,11/9/2001,Sharon,82 UPPER MAIN ST,53700,50000.0,1.074,Nan,Nan,0
20014,2020,10/6/2020,Monroe,22 MEADOWVIEW TER,189100,305000.0,0.62,Residential,Single Family,0
10269,2001,7/15/2002,Tolland,63 BALD HL RD,89950,149900.0,0.600066711,Nan,Nan,1
10920,2001,9/6/2002,Torrington,VIEW ST,14300,22500.0,0.635555556,Nan,Nan,1
10482,2001,1/10/2002,Stratford,129 BAYBERRY LN,140390,0.0,0.0,Nan,Nan,1
2000296,2020,2/12/2021,Naugatuck,464 MULBERRY ST,114660,195000.0,0.588,Residential,Single Family,1
10166,2001,1/23/2002,Ridgefield,120 PROSPECT ST UT 44,170760,380000.0,0.449368421,Nan,Nan,1
2000327,2020,3/3/2021,Naugatuck,31 PILGRIM LN,157810,276500.0,0.5707,Residential,Single Family,1
2000473,2020,5/18/2021,Naugatuck,33 FAIRCHILD ST,98900,184500.0,0.536,Residential,Single Family,1
10014,2001,10/9/2001,New London,6 CLIFF ST,43890,70000.0,0.627,Nan,Nan,0
2000022,2020,10/13/2020,Naugatuck,41 ANDERSON ST,108070,193500.0,0.5585,Residential,Three Family,0
20513,2020,3/11/2021,New Britain,32 HIGHLAND TERR,97580,163300.0,0.5975,Residential,Single Family,1
20761,2020,5/28/2021,New Britain,150 GOLD ST,212310,450000.0,0.4718,Apartments,Nan,1
10466,2001,1/7/2002,Stratford,1086 ESSEX PL,150640,0.0,0.0,Nan,Nan,1
201057,2020,8/12/2021,New Britain,5 ARCH ST,264390,400000.0,0.6609,Commercial,Nan,1
201133,2020,9/2/2021,New Britain,103 LEWIS RD,123480,235000.0,0.5254,Residential,Single Family,1
11137,2001,7/29/2002,Milford,31 PEARL ST,78960,200000.0,0.3948,Nan,Nan,1
20086,2020,10/22/2020,New Britain,23 PARKMORE ST,122220,223000.0,0.548,Residential,Single Family,0
10035,2001,11/14/2001,Orange,832 DONNA DR,156800,275000.0,0.570181818,Nan,Nan,0
200338,2020,4/23/2021,New Canaan,116 ROCKY BROOK RD,620760,850000.0,0.7303,Residential,Single Family,1
200661,2020,8/30/2021,New Canaan,322 MAIN ST,1279460,2400000.0,0.5331,Residential,Single Family,1
200155,2020,1/29/2021,New Fairfield,6 BARNBROOK RD,126100,199900.0,0.6308,Vacant Land,Nan,1
10024,2001,10/3/2001,New Britain,4 MADISON ST,52470,90000.0,0.583,Nan,Nan,0
200264,2020,6/10/2021,New Fairfield,10 BROOK DR,107500,240000.0,0.4479,Residential,Single Family,1
200145,2020,8/9/2021,New Hartford,82 NILES ROAD,238980,460000.0,0.5195,Residential,Single Family,1
200419,2020,2/4/2021,New Haven,769 DIXWELL AV,74200,190000.0,0.3905,Residential,Two Family,1
10164,2001,7/17/2002,Somers,21 LOUBIER DR,201260,380000.0,0.529631579,Nan,Nan,1
200953,2020,5/28/2021,New Haven,44 FRONT ST,64470,105000.0,0.614,Residential,Condo,1
201207,2020,7/21/2021,New Haven,40 TEMPLE CT # 40,368130,850000.0,0.433,Residential,Condo,1
201440,2020,9/15/2021,New Haven,889 CONGRESS AV,80150,214000.0,0.3745,Residential,Two Family,1
200176,2020,11/17/2020,New Haven,36 HARDING PL,35840,35000.0,1.024,Vacant Land,Nan,0
200192,2020,11/20/2020,New Haven,459 BLATCHLEY AV,71150,170000.0,0.4185,Residential,Two Family,0
201176,2020,3/9/2021,New London,400 BANK ST UNIT 201,165550,191000.0,0.8667,Residential,Condo,1
20274,2020,1/8/2021,Newtown,16 SILVER BROOK LANE,419590,779000.0,0.5386,Residential,Single Family,1
11187,2001,6/4/2002,Norwalk,12 NELSON AVE,167860,270000.0,0.621703704,Nan,Nan,1
10144,2001,2/19/2002,Monroe,11 LAUREL DR,183470,357000.0,0.513921569,Nan,Nan,1
20742,2020,8/30/2021,Newtown,157 HANOVER ROAD,325640,508000.0,0.641,Residential,Single Family,1
20771,2020,9/16/2021,Newtown,3 SHORT HILL ROAD,451770,910000.0,0.496450549,Residential,Single Family,1
202281,2020,9/7/2021,North Haven,108 MULHOLLAND WAY,276010,443165.0,0.6228,Residential,Condo,1
10124,2001,10/23/2001,Stratford,1093 BARNUM AVE,200980,0.0,0.0,Nan,Nan,0
201007,2020,3/22/2021,Norwalk,29 GREGORY BLVD,261800,450000.0,0.5817,Residential,Single Family,1
10336,2001,12/17/2001,Norwalk,16 ROCKMEADOW RD Q,81340,155000.0,0.524774194,Nan,Nan,0
202611,2020,7/6/2021,Norwalk,126 WASHINGTON ST UNIT R203,144380,217500.0,0.6638,Residential,Condo,1
10020,2001,10/2/2001,West Haven,84 WEST WALK,64050,130000.0,0.492692308,Nan,Nan,0
202876,2020,8/18/2021,Norwalk,17 HADIK PKWY,256270,355000.0,0.7218,Residential,Single Family,1
11223,2001,7/19/2002,Stratford,70 AUO ST,96730,0.0,0.0,Nan,Nan,1
10052,2001,7/2/2002,Morris,45 TROTTA LN,540,200000.0,0.0027,Nan,Nan,1
200289,2020,11/23/2020,Norwalk,188 FLAX HILL RD UNIT B/6,173040,330000.0,0.5243,Residential,Condo,0
200364,2020,1/20/2021,Norwich,44 NORWICH AVE #22,1100,1983200.0,0.0005,Vacant Land,Nan,1
200427,2020,2/5/2021,Norwich,287-291 MAIN ST,587600,939000.0,0.6257,Commercial,Nan,1
200522,2020,3/4/2021,Norwich,49 WHITE PLAINS RD,174400,335000.0,0.5205,Residential,Single Family,1
10110,2001,3/27/2002,Thompson,THOMPSON RD,34300,5000.0,6.86,Nan,Nan,1
200656,2020,4/30/2021,Norwich,112-116 MAIN ST,262300,352000.0,0.7451,Commercial,Nan,1
10405,2001,7/25/2002,Stonington,24 W VINE ST,85440,19000.0,4.496842105,Nan,Nan,1
11407,2001,5/7/2002,Stamford,27 NORTHILL ST,79730,210000.0,0.379666667,Nan,Nan,1
10558,2001,7/9/2002,Newington,110 DAY ST,74970,265000.0,0.28290566,Nan,Nan,1
20249,2020,9/30/2021,Orange,387 TIMBERLANE DR,297700,550000.0,0.5412,Residential,Single Family,1
20135,2020,1/21/2021,Plainfield,30-32 GREENE AVE,98580,200000.0,0.4929,Residential,Two Family,1
11877,2001,9/13/2002,Norwalk,6 COBBLERS LN,131250,331500.0,0.395927602,Nan,Nan,1
20293,2020,6/7/2021,Plainfield,404 PLAINFIELD PIKE RD,193560,360000.0,0.5376,Residential,Single Family,1
10320,2001,5/7/2002,Vernon,213 12 REGAN RD,28560,50000.0,0.5712,Nan,Nan,1
20492,2020,8/19/2021,Plainfield,22 FERNWOOD ST,142910,310000.0,0.461,Residential,Single Family,1
10207,2001,4/18/2002,Monroe,40 AUTUMN DR,168840,350000.0,0.4824,Nan,Nan,1
200377,2020,8/16/2021,Plainville,492 EAST ST B-36,41090,89900.0,0.457,Residential,Condo,1
10305,2001,6/17/2002,Watertown,CAROLA DR,57690,90000.0,0.641,Nan,Nan,1
11198,2001,8/1/2002,West Hartford,42 PINE BRK LN,190210,379900.0,0.500684391,Nan,Nan,1
202000106,2020,1/28/2021,Plymouth,325 MAIN ST,596470,833111.0,0.7159,Commercial,Nan,1
202000141,2020,3/18/2021,Plymouth,99 EASTVIEW ROAD,34790,10000.0,3.479,Vacant Land,Nan,1
11486,2001,7/18/2002,Norwalk,7 FIRESIDE CT,250600,534500.0,0.468849392,Nan,Nan,1
200179,2020,6/22/2021,Portland,724 GLASTONBURY TPKE,134750,220000.0,0.6125,Residential,Single Family,1
10693,2001,2/22/2002,Stratford,283 B AGAWAM DR,149180,0.0,0.0,Nan,Nan,1
10929,2001,7/11/2002,New Britain,CEDARWOOD DR LT A,25960,40000.0,0.649,Nan,Nan,1
2016743,2020,7/19/2021,Redding,241 ETHAN ALLEN HIGHWAY,1769800,1800000.0,0.9832,Commercial,Nan,1
20273,2020,1/11/2021,Ridgefield,12 CARPENTER CLOSE,89810,128300.0,0.7,Residential,Condo,1
10059,2001,9/4/2002,Warren,13 PARTRIDGE RD,173250,274900.0,0.630229174,Nan,Nan,1
10128,2001,4/23/2002,Thompson,COLONIAL RD,2100,2100.0,1.0,Nan,Nan,1
200207,2020,6/10/2021,Rocky Hill,402 THE MEWS,120890,234900.0,0.5146,Residential,Condo,1
200010,2020,10/22/2020,Rocky Hill,59 HIGHCREST DRIVE,128870,193000.0,0.6677,Residential,Condo,0
200002,2020,10/1/2020,Roxbury,20 CHURCH ST,439290,575000.0,0.763982609,Residential,Single Family,0
200568,2020,10/7/2020,Salem,81A SKYLINE DR.,46900,75000.0,0.6253,Vacant Land,Nan,0
20200070,2020,4/8/2021,Sharon,101 MILLERTON RD,170200,287000.0,0.593,Residential,Single Family,1
20200107,2020,7/26/2021,Sharon,BARBERRY HILLS RD,106300,100000.0,1.063,Vacant Land,Nan,1
10087,2001,1/23/2002,Winchester,936 MAIN ST,8000,8000.0,1.0,Nan,Nan,1
200759,2020,7/21/2021,Shelton,104 MAPLE AVE,144410,185000.0,0.7805,Residential,Single Family,1
200245,2020,1/6/2021,Shelton,172-176 CORAM AVE,310660,375000.0,0.8284,Commercial,Nan,1
200374,2020,3/1/2021,Shelton,1103 RENAISSANCE,227500,525000.0,0.4333,Residential,Condo,1
20104,2020,8/24/2021,Sherman,6 BULLYMUCK RD,23600,41382.0,0.5702,Vacant Land,Nan,1
200362,2020,5/24/2021,Simsbury,75 HILLTOP DRIVE,99660,180000.0,0.5536,Residential,Condo,1
200377,2020,5/28/2021,Simsbury,108 LIBRARY LANE,80010,130000.0,0.6154,Residential,Condo,1
200002,2020,10/1/2020,Simsbury,24 BRETTONWOOD DRIVE,186610,252000.0,0.7405,Residential,Condo,0
200081,2020,11/9/2020,Simsbury,2C MILL PONDO LANE,270440,372000.0,0.7269,Residential,Condo,0
200120,2020,12/3/2020,Simsbury,24 COBTAIL WAY,133940,160000.0,0.8371,Vacant Land,Nan,0
10294,2001,4/1/2002,Windsor,11 TANGLEWOOD,64890,105000.0,0.618,Nan,Nan,1
20486,2020,6/15/2021,Southbury,808 A HERITAGE VILLAGE,92080,185000.0,0.4977,Residential,Condo,1
20588,2020,7/29/2021,Southbury,2005 PURCHASE BROOK RD,235950,510000.0,0.4626,Residential,Single Family,1
20171,2020,11/30/2020,Southbury,259 BURR RD,74060,115000.0,0.644,Vacant Land,Nan,0
20073,2002,12/30/2002,Coventry,314 HIGHLAND RD,67690,125000.0,0.54152,Nan,Nan,0
200007,2020,10/2/2020,South Windsor,23-D AMATO DR,68300,105000.0,0.6504,Residential,Condo,0
20294,2002,7/1/2003,Colchester,MULTI ADDRESSES,178600,400000.0,0.4465,Nan,Nan,1
20118,2002,5/6/2003,Brooklyn,HERRICK RD,4100,2500.0,1.64,Nan,Nan,1
2000720,2020,1/5/2021,Stamford,57 HARBOR DRIVE GARAGE G-105B,19110,27500.0,0.6949,Residential,Condo,1
2000737,2020,1/6/2021,Stamford,LOT 2 EDEN ROAD,208560,238000.0,0.8763,Vacant Land,Nan,1
2000857,2020,1/21/2021,Stamford,0 SUMMER STREET #116-2A,109420,195000.0,0.5611,Residential,Condo,1
2001101,2020,3/4/2021,Stamford,385 ERSKINE ROAD,599810,950000.0,0.6313,Residential,Single Family,1
2001250,2020,3/25/2021,Stamford,28 VERNON PLACE,403190,810000.0,0.4977,Residential,Three Family,1
2001286,2020,3/30/2021,Stamford,1156 STILLWATER ROAD,438860,652000.0,0.673,Residential,Single Family,1
2001493,2020,5/3/2021,Stamford,18 BUNGALOW PARK,238890,400000.0,0.5972,Residential,Single Family,1
2001570,2020,5/14/2021,Stamford,52 ORCHARD STREET,486230,930000.0,0.5228,Commercial,Nan,1
2001590,2020,5/17/2021,Stamford,37 CROSS ROAD,423700,533350.0,0.7944,Residential,Two Family,1
2002526,2020,9/3/2021,Stamford,114 POND ROAD,206820,300000.0,0.6894,Vacant Land,Nan,1
2002537,2020,9/7/2021,Stamford,56 ETHAN ALLEN LANE,441560,785000.0,0.5624,Residential,Single Family,1
2000120,2020,10/16/2020,Stamford,61 SEAVIEW AVENUE # 1,497000,755000.0,0.6582,Residential,Condo,0
20964,2002,7/14/2003,Greenwich,48 BENJAMIN ST,513730,700000.0,0.7339,Nan,Nan,1
2000212,2020,10/28/2020,Stamford,197 BRIDGE STREET # 3,199330,342500.0,0.5819,Residential,Condo,0
